Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70.0,11200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5.0,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,906.0,0.0,0,134.0,1040.0,GasA,5,Y,1,1040.0,0,0,1040.0,1.0,0,1,0,3.0,1,3,5,Typ,0.0,3.461038961038961,Detchd,1965.0,1.0,1.0,384.0,3.0,3.0,1,0,0,0,0,0,0,0,0,2,2008,WD,Normal,129500.0
12,60,RL,85.0,11924.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5.0,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3.0,0.0,5.0,998.0,0.0,0,177.0,1175.0,GasA,5,Y,1,1182.0,1142,0,2324.0,1.0,0,3,0,4.0,1,5,10,Typ,2.0,4.0,BuiltIn,2005.0,3.0,3.0,736.0,3.0,3.0,1,147,21,0,0,0,0,0,0,7,2006,New,Partial,340037.5
13,20,RL,70.04995836802665,12968.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6.0,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,737.0,0.0,0,175.0,912.0,GasA,3,Y,1,912.0,0,0,912.0,1.0,0,1,0,2.0,1,3,10,Typ,0.0,3.461038961038961,Detchd,1962.0,1.0,1.0,352.0,3.0,3.0,1,140,0,0,0,0,0,0,0,9,2008,WD,Normal,144000.0
14,20,RL,91.0,10652.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5.0,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3.0,2.0,0.0,0.0,0.0,0,1494.0,1494.0,GasA,5,Y,1,1494.0,0,0,1494.0,0.0,0,2,0,3.0,1,4,7,Typ,1.0,4.0,Attchd,2006.0,2.0,3.0,840.0,3.0,3.0,1,160,33,0,0,0,0,0,0,8,2007,New,Partial,279500.0
15,20,RL,70.04995836802665,10920.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5.0,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,0.0,3.0,733.0,0.0,0,520.0,1253.0,GasA,3,Y,1,1253.0,0,0,1253.0,1.0,0,1,1,2.0,1,3,10,Typ,1.0,2.0,Attchd,1960.0,2.0,1.0,352.0,3.0,3.0,1,0,190,0,0,0,0,0,0,5,2008,WD,Normal,157000.0
16,45,RM,51.0,6120.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,7.5,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0.0,0.0,0,832.0,832.0,GasA,5,Y,1,854.0,0,0,854.0,0.0,0,1,0,2.0,1,3,5,Typ,0.0,3.461038961038961,Detchd,1991.0,1.0,2.0,576.0,3.0,3.0,1,48,112,0,0,0,0,0,0,7,2007,WD,Normal,132000.0
17,20,RL,70.04995836802665,11241.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7.0,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,3.0,0.0,4.0,578.0,0.0,0,426.0,1004.0,GasA,5,Y,1,1004.0,0,0,1004.0,1.0,0,1,0,2.0,1,3,5,Typ,1.0,3.0,Attchd,1970.0,3.0,2.0,480.0,3.0,3.0,1,0,0,0,0,0,0,0,0,3,2010,WD,Normal,149000.0
18,90,RL,72.0,10791.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5.0,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,3.5797610681658467,3.0,0.6736990154711674,2.6380885453267746,0.0,0.0,0,0.0,40.125,GasA,3,Y,1,1296.0,0,0,1296.0,0.0,0,2,0,2.0,1,3,6,Typ,0.0,3.461038961038961,CarPort,1967.0,1.0,2.0,516.0,3.0,3.0,1,0,0,0,0,0,0,0,0,10,2006,WD,Normal,90000.0
19,20,RL,66.0,13695.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5.0,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,0.0,5.0,646.0,0.0,0,468.0,1114.0,GasA,5,Y,1,1114.0,0,0,1114.0,1.0,0,1,1,3.0,1,4,6,Typ,0.0,3.461038961038961,Detchd,2004.0,1.0,2.0,576.0,3.0,3.0,1,0,102,0,0,0,0,0,0,6,2008,WD,Normal,159000.0
20,20,RL,70.0,7560.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,1.0,504.0,0.0,0,525.0,1029.0,GasA,3,Y,1,1339.0,0,0,1339.0,0.0,0,1,0,3.0,1,3,6,Min1,0.0,3.461038961038961,Attchd,1958.0,1.0,1.0,294.0,3.0,3.0,1,0,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000.0
21,60,RL,101.0,14215.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5.0,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,3.0,2.0,0.0,0.0,0.0,0,1158.0,1158.0,GasA,5,Y,1,1158.0,1218,0,2376.0,0.0,0,3,1,4.0,1,4,9,Typ,1.0,4.0,BuiltIn,2005.0,2.0,3.0,853.0,3.0,3.0,1,240,154,0,0,0,0,0,0,11,2006,New,Partial,325300.0
22,45,RM,30.0,7449.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7.0,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,0.0,0.0,0.0,0.0,0,637.0,637.0,GasA,5,Y,1,1108.0,0,0,1108.0,0.0,0,1,0,3.0,1,4,6,Typ,1.0,4.0,Attchd,1930.0,1.0,1.0,280.0,3.0,3.0,1,0,0,0,0,0,0,0,0,6,2007,WD,Normal,139400.0
23,20,RL,75.0,9742.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5.0,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,1685.5,1777.0,GasA,5,Y,1,1795.0,0,0,1795.0,0.0,0,2,0,3.0,1,4,7,Typ,1.0,4.0,Attchd,2002.0,2.0,2.0,534.0,3.0,3.0,1,171,159,0,0,0,0,0,0,9,2008,WD,Normal,230000.0
24,120,RM,44.0,4224.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7.0,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3.0,0.0,5.0,840.0,0.0,0,200.0,1040.0,GasA,3,Y,1,1060.0,0,0,1060.0,1.0,0,1,0,3.0,1,3,6,Typ,1.0,3.0,Attchd,1976.0,1.0,2.0,572.0,3.0,3.0,1,100,110,0,0,0,0,0,0,6,2007,WD,Normal,129900.0
25,20,RL,30.0,8246.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7.5,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,188.0,0.0,0,204.0,1060.0,GasA,5,Y,1,1060.0,0,0,1060.0,1.0,0,1,0,3.0,1,4,6,Typ,1.0,3.0,Attchd,1968.0,1.0,1.0,270.0,3.0,3.0,1,406,90,0,0,0,0,0,0,5,2010,WD,Normal,154000.0
26,20,RL,110.0,14230.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5.0,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,490.0,4,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,1566.0,1566.0,GasA,5,Y,1,1600.0,0,0,1600.0,0.0,0,2,0,3.0,1,4,7,Typ,1.0,4.0,Attchd,2007.0,2.0,3.0,890.0,3.0,3.0,1,0,56,0,0,0,0,0,0,7,2009,WD,Normal,256300.0
27,20,RL,60.0,7200.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7.0,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,234.0,0.0,0,180.0,900.0,GasA,3,Y,1,900.0,0,0,900.0,0.0,0,1,0,3.0,1,4,5,Typ,0.0,3.461038961038961,Detchd,2005.0,1.0,2.0,576.0,3.0,3.0,1,222,32,0,0,0,0,0,0,5,2010,WD,Normal,134800.0
28,20,RL,98.0,11478.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5.0,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,3.0,0.0,5.0,1218.0,0.0,0,486.0,1704.0,GasA,5,Y,1,1704.0,0,0,1704.0,1.0,0,2,0,3.0,1,4,7,Typ,1.0,4.0,Attchd,2008.0,2.0,3.0,772.0,3.0,3.0,1,0,50,0,0,0,0,0,0,5,2010,WD,Normal,306000.0
29,20,RL,47.0,16321.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,2.5,3.0,1277.0,0.0,0,207.0,1484.0,GasA,3,Y,1,1600.0,0,0,1600.0,1.0,0,1,0,2.0,1,3,6,Typ,2.0,4.0,Attchd,1957.0,2.0,1.0,319.0,3.0,3.0,1,288,190,0,0,0,0,0,0,12,2006,WD,Normal,207500.0
30,30,RM,60.0,6324.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6.0,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0.0,0.0,0,520.0,520.0,GasA,2,N,1,520.0,0,0,520.0,0.0,0,1,0,1.0,1,2,4,Typ,0.0,3.461038961038961,Detchd,1920.0,1.0,1.0,240.0,3.0,3.0,1,49,0,0,0,0,0,0,0,5,2008,WD,Normal,68500.0
31,70,C (all),31.5,8500.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4.0,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0.0,0.0,0,649.0,649.0,GasA,3,N,1,649.0,668,0,1317.0,0.0,0,1,0,3.0,1,3,6,Typ,0.0,3.461038961038961,Detchd,1920.0,1.0,1.0,250.0,3.0,3.0,1,0,54,0,0,0,0,0,0,7,2008,WD,Normal,40000.0
32,20,RL,70.04995836802665,8544.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6.0,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,0.0,0.0,0.0,0.0,0,1228.0,1228.0,GasA,4,Y,1,1228.0,0,0,1228.0,0.0,0,1,1,3.0,1,4,6,Typ,0.0,3.461038961038961,Attchd,1966.0,1.0,1.0,271.0,3.0,3.0,1,0,65,0,0,0,0,0,0,6,2008,WD,Normal,149350.0
33,20,RL,85.0,11049.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5.0,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,2.0,0.0,0.0,0.0,0,1234.0,1234.0,GasA,5,Y,1,1234.0,0,0,1234.0,0.0,0,2,0,3.0,1,4,7,Typ,0.0,3.461038961038961,Attchd,2007.0,2.0,2.0,484.0,3.0,3.0,1,0,30,0,0,0,0,0,0,1,2008,WD,Normal,179900.0
34,20,RL,70.0,10552.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5.0,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,1018.0,0.0,0,380.0,1398.0,GasA,4,Y,1,1700.0,0,0,1700.0,0.0,0,1,1,4.0,1,4,6,Typ,1.0,4.0,Attchd,1959.0,2.0,2.0,447.0,3.0,3.0,1,0,38,0,0,0,0,0,0,4,2010,WD,Normal,165500.0
35,120,RL,60.0,7313.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5.0,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,3.0,0.0,5.0,1153.0,0.0,0,408.0,1561.0,GasA,5,Y,1,1561.0,0,0,1561.0,1.0,0,2,0,2.0,1,5,6,Typ,1.0,4.0,Attchd,2005.0,3.0,2.0,556.0,3.0,3.0,1,203,47,0,0,0,0,0,0,8,2007,WD,Normal,277500.0
36,60,RL,108.0,13418.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5.0,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,3.0,2.0,0.0,0.0,0.0,0,1117.0,1117.0,GasA,5,Y,1,1132.0,1320,0,2452.0,0.0,0,3,1,4.0,1,4,9,Typ,1.0,4.0,BuiltIn,2004.0,3.0,3.0,691.0,3.0,3.0,1,113,32,0,0,0,0,0,0,9,2006,WD,Normal,309000.0
37,20,RL,110.0,10859.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5.0,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,1097.0,1097.0,GasA,5,Y,1,1097.0,0,0,1097.0,0.0,0,1,1,3.0,1,3,6,Typ,0.0,3.461038961038961,Attchd,1995.0,1.0,2.0,672.0,3.0,3.0,1,392,64,0,0,0,0,0,0,6,2009,WD,Normal,145000.0
38,20,RL,74.0,8532.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,490.0,3,3,CBlock,3.0,3.0,0.0,2.0,1213.0,0.0,0,84.0,1297.0,GasA,4,Y,1,1297.0,0,0,1297.0,0.0,0,1,0,3.0,1,3,5,Typ,1.0,3.0,Attchd,1954.0,3.0,2.0,498.0,3.0,3.0,1,0,0,0,0,0,0,0,0,10,2009,WD,Normal,153000.0
39,20,RL,68.0,7922.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7.0,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,731.0,0.0,0,326.0,1057.0,GasA,3,Y,1,1057.0,0,0,1057.0,1.0,0,1,0,3.0,1,4,5,Typ,0.0,3.461038961038961,Detchd,1953.0,1.0,1.0,246.0,3.0,3.0,1,0,52,0,0,0,0,0,0,1,2010,WD,Abnorml,109000.0
40,90,RL,65.0,6040.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5.0,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,3.5797610681658467,3.0,0.6736990154711674,2.6380885453267746,0.0,0.0,0,0.0,40.125,GasA,3,N,1,1152.0,0,0,1152.0,0.0,0,2,0,2.0,1,2,6,Typ,0.0,3.461038961038961,Attchd,1978.5061638868744,1.8165337200870195,0.0,0.0,3.0,3.0,1,0,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000.0
41,20,RL,84.0,8658.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5.0,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3.0,3.0,0.0,2.0,643.0,0.0,0,445.0,1088.0,GasA,5,Y,1,1324.0,0,0,1324.0,0.0,0,2,0,3.0,1,3,6,Typ,1.0,3.0,Attchd,1965.0,2.0,2.0,440.0,3.0,3.0,1,0,138,0,0,0,0,0,0,12,2006,WD,Abnorml,160000.0
42,20,RL,110.0,16905.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6.0,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3.0,2.5,3.0,967.0,0.0,0,383.0,1350.0,GasA,4,Y,1,1328.0,0,0,1328.0,0.0,0,1,1,2.0,1,3,5,Typ,2.0,4.0,Attchd,1959.0,2.0,1.0,308.0,3.0,3.0,1,0,104,0,0,0,0,0,0,7,2007,WD,Normal,170000.0
43,85,RL,70.04995836802665,9180.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7.0,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,2.0,4.0,747.0,0.0,0,0.0,840.0,GasA,4,Y,1,884.0,0,0,884.0,1.0,0,1,0,2.0,1,4,5,Typ,0.0,3.461038961038961,Attchd,1983.0,2.0,2.0,504.0,3.0,3.0,1,240,0,0,0,0,0,0,0,12,2007,WD,Normal,144000.0
44,20,RL,70.04995836802665,9200.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6.0,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,2.0,1.0,280.0,0.0,0,167.0,938.0,GasA,3,Y,1,938.0,0,0,938.0,1.0,0,1,0,3.0,1,3,5,Typ,0.0,3.461038961038961,Detchd,1977.0,1.0,1.0,308.0,3.0,3.0,1,145,0,0,0,0,0,0,0,7,2008,WD,Normal,130250.0
45,20,RL,70.0,7945.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,179.0,0.0,0,465.0,1150.0,GasA,5,Y,1,1150.0,0,0,1150.0,1.0,0,1,0,3.0,1,3,6,Typ,0.0,3.461038961038961,Attchd,1959.0,2.0,1.0,300.0,3.0,3.0,1,0,0,0,0,0,0,0,0,5,2006,WD,Normal,141000.0
46,120,RL,61.0,7658.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5.0,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5.0,3.0,0.0,5.0,456.0,0.0,0,1296.0,1752.0,GasA,5,Y,1,1752.0,0,0,1752.0,1.0,0,2,0,2.0,1,5,6,Typ,1.0,4.0,Attchd,2005.0,2.0,2.0,576.0,3.0,3.0,1,196,82,0,0,0,0,0,0,2,2010,WD,Normal,319900.0
